user_id,text_original,likes_count,user_sex,user_age,text_lemmatized
133909676,Мне кажется новость про людей с ожирением можно было опубликовать и не применительно к коронавирусу,1,m,28,я казаться новость человек ожирение опубликовать применительно коронавирус
141916229,"Млять, лентач, я вас всех люблю, вы сделали мой день",0,m,30,млять лентач любить сделать день
232281314,Предвыборная кампания уровня Дональд Трамп,0,m,None,предвыборный кампания уровень дональд трамп
558152615,В России испытывают кровопускание против ковида,0,m,None,в россия испытывать кровопускание против ковид
472050455,Разорвать рубашку супермен на публике алиексперс дешёвый товар купить,0,m,17,разорвать рубашка супермен публика алиексперс дешёвый товар купить
141916229,Пойду проверю эффективность вакцины от гемороя против короновирусв,0,m,30,пойти проверить эффективность вакцина геморой против короновирусв
483674436,"Минздрав не рассказал как можно вообще попасть в больницу? У родственника температура уже больше недели (точнее почти две) 37.5-40 и ничем не сбивается, гнойники на горле, жрать толком не может, выписанные врачом антибиотики не помогают. Тест на корону не делают, сказали «да Вам не надо», рентген «если хотите, платно, у нас аппарат не работает» и т. д. И эта контора ещё вякает о госпитализации? Туда по ходу только тех, кто до неё уже не доедет забирают)))",0,m,41,минздрав рассказать вообще попасть больница у родственник температура неделя точнее два ничто сбиваться гнойник горло жрать толком выписать врач антибиотик помогать тест корона делать сказать вы рентген хотеть платно аппарат работать и этот контора ещё вякать госпитализация туда ход тот она доехать забирать
11673500,"О, низкими зарплатами Путин борется с ожирением, чтобы денег даже на еду не хватало. Все о здоровье народа думает, обнуленный наш.",1,m,37,о низкий зарплата путин бороться ожирение деньга еда хватать всё здоровье народ думать обнулить наш
251085937,"[id196202102|Кирилл], арт конечно такое, но то что они это освещают это нормально 🤷‍♂️",0,m,17,кирилл арт такой это освещать это нормально
141319406,"[id159190600|Кирилл], В*",1,m,24,кирилл в
380543740,Да два три четыре пять,0,f,20,да четыре пять
120522182,Да два три четыре пять,0,m,21,да четыре пять
215042206,,0,m,16,
30052983,"[id380543740|Евгения], что за тема с ""два три четыре пять""?😬",0,m,None,евгений тема четыре пять
232281314,Студенты вспоминают числа,4,m,None,студент вспоминать число
25597927,"[id239583943|Надежда], завтра будет хуже, значит сегодня не совсем плохо",0,m,25,надежда завтра плохой значит сегодня плохо
2073830,"[id239583943|Надежда], да, особенно удручает, что Донни не дали провернуть пранк с Суперменом... :(",1,m,None,надежда особенно удручать донни дать провернуть пранк супермен
487096319,"[id2073830|Алексей], bro noo..",1,f,24,алексей bro noo
612672455,"[id2073830|Алексей], Пустить их на мясо во время голода.",0,m,108,алексей пустить мясо время голод
30375728,"[id2073830|Алексей], ты хотел сказать - БОДИПОЗИТИВЩИЦ?",0,m,None,алексей хотеть сказать бодипозитивщица
22236590,"[id267347284|Анна], 2k20, ты ожидала другого?",0,m,None,анна ожидать другой
531060313,"Лентач , ты ведь понимаешь , как это тяжело дефать будет?
Мы не боты",26,m,15,лентач понимать это тяжело дефать мы бот
203648853,"Лентач подожди, нам сатану надо дорисовать",15,m,None,лентач подождать мы сатана дорисовать
517457056,Что блеать происходит тут а?,7,m,31,что блеать происходить
382288272,Хорошо что я не годен,0,m,None,хорошо годный
146882380,"А может соберем сопротивление наконец и закрасим все нахрен? Чтобы напомнить лентачу что он новостной ресурс, устроили детский сад.",29,m,22,а собрать сопротивление закрасить нахрен чтобы напомнить лентач новостной ресурс устроить детский сад
7498546,"Как же меня бесит слово ""комрады""
Я когда нить из за этого слова, разберусь что это за шляпа что бы все портить.",2,m,None,как бесить слово комрада я нить слово разобраться это шляпа портить
511169341,Можно я чуть территорию заберу нарисовать кое что,0,m,16,можно территория забрать нарисовать кой
347215140,Без надписи «Братишкин» эта непонятная хрень даже лучше стала выглядеть,0,m,None,без надпись братишкин этот непонятный хрень стать выглядеть
